ID,Type,Pic_Link,Longitude,Latitude,Text,Hashtags,Created_At
910688762660884480,Not_Specified,,-105.2828034,40.01611572,"I'm at @JillsRestaurant &amp; Bistro in Boulder, CO https://t.co/seJOGmphhq",[],Thu Sep 21 02:14:55 +0000 2017
910685071996182528,photo,https://pbs.twimg.com/media/DKNnOcBV4AAW9MY.jpg,-105.28170832,40.01664911,Holy crap! I finally make it to the Boulder JS meetup. #boulderjs https://t.co/1L3HmQ8VI3,['#boulderjs'],Thu Sep 21 02:00:15 +0000 2017
910678258764668928,Not_Specified,,-105.274505,40.010654,"Super fun having Liz Gelardi, another Mizzou journalism grad, come up from KMGH-TV Denver 7 to… https://t.co/N4RHOrfcYv",[],Thu Sep 21 01:33:11 +0000 2017
910671078401306624,Not_Specified,,-105.28,40.02,"current weather in Boulder: clear sky, 74°F
24% humidity, wind 5mph, pressure 1010mb",[],Thu Sep 21 01:04:39 +0000 2017
910670002033790977,Not_Specified,,-105.28,40.02,Boulder: 6:59pm: sunset,[],Thu Sep 21 01:00:22 +0000 2017
910664793031245824,animated_gif,https://pbs.twimg.com/tweet_video_thumb/DKNUzHIVoAA4zG2.jpg,,,@MDCin303  https://t.co/Xr9InQFpxe,[],Thu Sep 21 00:39:40 +0000 2017
910661229332488192,Not_Specified,,,,NOT CREEPY AT ALL,[],Thu Sep 21 00:25:30 +0000 2017
910660106638864384,video,https://pbs.twimg.com/ext_tw_video_thumb/910659918193029121/pu/img/mSPAkn7lACbJV5Rd.jpg,,,omg you guys my hotel is for sure haunted like 💯% this is what is right outside my room 😱 https://t.co/yy5qudxuUA,[],Thu Sep 21 00:21:03 +0000 2017
910655725839425537,photo,https://pbs.twimg.com/media/DKNMjbTVYAANhEn.jpg,,,omg @jimprosser you are not kidding about Hotel Boulderado 😬 https://t.co/lG85n3tm6H,[],Thu Sep 21 00:03:38 +0000 2017
910650301388021760,Not_Specified,,-105.2705456,40.0149856,"See our latest #Boulder, CO #job and click to apply: Agile Program Manager - https://t.co/Y2IKBTPPMQ #IT #Hiring #CareerArc","['#Boulder', '#job', '#IT', '#Hiring', '#CareerArc']",Wed Sep 20 23:42:05 +0000 2017
910650134060560384,Not_Specified,,-105.28357,40.0174499,New to our lunch menu-Trota Con Limone- Rainbow trout|seared greens|preserved… https://t.co/g58ffR4nPY,[],Wed Sep 20 23:41:25 +0000 2017
910646154840428544,Not_Specified,,-105.27845265,40.01519923,"I'm at Central Park in Boulder, CO https://t.co/HIcFNqZazD",[],Wed Sep 20 23:25:36 +0000 2017
910646111114858497,Not_Specified,,-105.27904221,40.01658899,"I'm at One Boulder Fitness - @oneboulderfit in Boulder, CO https://t.co/jjMyctuWrO",[],Wed Sep 20 23:25:26 +0000 2017
